,group,timespan,magnitude,drop,shape,startdate,enddate
136,136,0 days 00:12:00,1326.2222222222208,10.15276785410498,-137.54359925788518,2020-12-23 18:56:00,2020-12-23 19:08:00
137,137,0 days 00:06:00,861.3624999999993,8.503252778929493,-147.04298642533922,2020-12-23 19:22:00,2020-12-23 19:28:00
138,138,0 days 00:06:00,1170.6111111111113,11.66263539804396,-24.504010695186935,2020-12-23 19:52:00,2020-12-23 19:58:00
139,139,0 days 00:06:00,1814.6656346749232,18.154204673955775,-32.224458204334496,2020-12-23 20:00:00,2020-12-23 20:06:00
140,140,0 days 00:06:00,1092.5235294117647,11.011317891042324,-3.3072755417956614,2020-12-23 20:06:00,2020-12-23 20:12:00
141,141,0 days 00:08:00,750.4915966386543,7.403702991375042,-20.48888888888905,2020-12-23 20:32:00,2020-12-23 20:40:00
142,142,0 days 00:16:00,9548.761904761905,93.92444787934144,-349.809753853232,2020-12-23 21:46:00,2020-12-23 22:02:00
143,143,0 days 00:22:00,7208.254515599344,79.57705755587654,-207.0627428127428,2020-12-24 00:24:00,2020-12-24 00:46:00
144,144,0 days 00:06:00,2784.175675675676,58.791519232964276,721.4308236808238,2020-12-24 00:30:00,2020-12-24 00:36:00
145,145,0 days 00:22:00,2621.972153972154,23.964117166096884,-155.9461500974659,2020-12-24 01:14:00,2020-12-24 01:36:00
146,146,0 days 00:22:00,9329.164285714287,94.05381466238914,-277.8226425438595,2020-12-24 02:24:00,2020-12-24 02:46:00
147,147,0 days 00:22:00,9329.164285714287,94.05381466238914,-277.8226425438595,2020-12-24 02:24:00,2020-12-24 02:46:00
148,148,0 days 00:12:00,2942.5625,33.25093754634763,-128.5285714285714,2020-12-24 03:14:00,2020-12-24 03:26:00
149,149,0 days 00:12:00,2942.5625,33.25093754634763,-128.5285714285714,2020-12-24 03:14:00,2020-12-24 03:26:00
150,150,0 days 00:08:00,2675.45,32.73903121003909,-13.73117117117108,2020-12-24 03:28:00,2020-12-24 03:36:00
151,151,0 days 00:06:00,8246.827586206897,100.0,-2024.2500000000002,2020-12-24 03:40:00,2020-12-24 03:46:00
152,152,0 days 00:08:00,5403.285714285715,100.0,1080.6571428571428,2020-12-24 03:56:00,2020-12-24 04:04:00
153,153,0 days 00:22:00,769.1351351351368,7.221541295857875,-3.8425925925926094,2020-12-26 02:58:00,2020-12-26 03:20:00
154,154,0 days 00:06:00,10635.70777027027,98.96194571091591,-2666.436298076923,2020-12-29 05:58:00,2020-12-29 06:04:00
155,155,0 days 00:24:00,9455.8125,98.83392780151296,-292.3443347193348,2020-12-29 06:02:00,2020-12-29 06:26:00
156,156,0 days 00:08:00,2931.1425908667297,20.91565562542553,-594.345358090186,2020-12-30 02:34:00,2020-12-30 02:42:00
157,157,0 days 00:08:00,898.2261072261072,11.279160983262983,-183.33387314439952,2021-01-04 06:24:00,2021-01-04 06:32:00
158,158,0 days 00:10:00,1546.6605937921722,17.90137678447475,-247.88055555555562,2021-01-06 04:32:00,2021-01-06 04:42:00
159,159,0 days 00:20:00,2099.4815789473687,29.28616973360259,-192.1574162679426,2021-01-06 04:54:00,2021-01-06 05:14:00
160,160,0 days 00:20:00,4163.061538461538,62.74904925331602,-127.23758741258739,2021-01-06 08:58:00,2021-01-06 09:18:00
161,161,0 days 00:20:00,4163.061538461538,62.74904925331602,-127.23758741258739,2021-01-06 08:58:00,2021-01-06 09:18:00
162,162,0 days 00:06:00,941.063063063064,7.858085346789991,-241.2478070175439,2021-01-07 03:04:00,2021-01-07 03:10:00
163,163,0 days 00:06:00,1872.2564102564102,87.90782788760202,448.96285849045046,2021-01-07 15:02:00,2021-01-07 15:08:00
