,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
90,90,0 days 00:08:00,7536.0,5.308126307485324,-60.8,2008-01-09 22:58:00,2008-01-09 23:06:00,0 days 00:10:00
91,91,0 days 00:06:00,7660.0,5.39075970301559,155.25,2008-01-09 23:06:00,2008-01-09 23:12:00,0 days 00:06:00
92,92,0 days 00:06:00,7553.0,5.285329414646085,189.25,2008-01-09 23:14:00,2008-01-09 23:20:00,0 days 00:06:00
93,93,0 days 00:06:00,7229.0,5.000484207905046,137.25,2008-01-09 23:44:00,2008-01-09 23:50:00,0 days 00:06:00
94,94,0 days 00:06:00,7144.0,4.9311815784750905,63.75,2008-01-10 00:16:00,2008-01-10 00:22:00,0 days 00:06:00
95,95,0 days 00:06:00,7499.0,5.1444761538883625,137.25,2008-01-10 00:28:00,2008-01-10 00:34:00,0 days 00:06:00
96,96,0 days 00:08:00,7542.0,5.107887358283563,-25.6,2008-01-10 00:52:00,2008-01-10 01:00:00,0 days 00:10:00
97,97,0 days 00:10:00,7591.0,5.162997272609786,-26.666666666666668,2008-01-10 01:00:00,2008-01-10 01:10:00,0 days 00:12:00
98,98,0 days 00:04:00,7940.0,5.3537594314496175,2650.0,2008-01-10 01:16:00,2008-01-10 01:20:00,0 days 00:04:00
99,99,0 days 00:06:00,7366.0,4.96672442973022,-1764.75,2008-01-10 01:20:00,2008-01-10 01:26:00,0 days 00:08:00
100,100,0 days 00:06:00,7457.0,5.022428169241749,73.0,2008-01-10 01:26:00,2008-01-10 01:32:00,0 days 00:06:00
101,101,0 days 00:06:00,7203.0,4.849851871801775,97.75,2008-01-10 01:32:00,2008-01-10 01:38:00,0 days 00:06:00
102,102,0 days 00:20:00,66834.0,84.34163701067615,-672.5454545454545,2008-01-15 15:50:00,2008-01-15 16:10:00,0 days 00:26:00
103,103,0 days 00:06:00,36461.0,26.361795965584562,444.0,2008-01-15 19:20:00,2008-01-15 19:26:00,0 days 00:06:00
104,104,0 days 00:18:00,68007.0,74.51596997753794,-1262.8,2008-01-16 16:04:00,2008-01-16 16:22:00,0 days 00:26:00
105,105,0 days 00:54:00,136531.0,100.0,-778.25,2008-01-17 19:38:00,2008-01-17 20:32:00,0 days 01:18:00
106,106,0 days 00:20:00,103393.0,78.48917094944925,-1022.1818181818181,2008-01-17 21:00:00,2008-01-17 21:20:00,0 days 00:24:00
107,107,0 days 00:12:00,50329.0,43.27663892137304,-7236.0,2008-01-19 06:28:00,2008-01-19 06:40:00,0 days 06:38:00
108,108,0 days 00:22:00,57065.0,100.0,-499.0833333333333,2008-01-19 06:44:00,2008-01-19 07:06:00,0 days 00:24:00
109,109,0 days 00:06:00,9217.0,5.146890478503892,178.75,2008-01-19 15:42:00,2008-01-19 15:48:00,0 days 00:06:00
110,110,0 days 00:06:00,38684.0,79.53942633905623,-9516.0,2008-01-22 12:28:00,2008-01-22 12:34:00,0 days 00:30:00
111,111,0 days 00:08:00,21985.0,68.84080661322645,-988.2,2008-01-22 12:32:00,2008-01-22 12:40:00,0 days 00:08:00
112,112,0 days 00:22:00,56720.0,86.47791550412417,-519.0,2008-01-29 14:14:00,2008-01-29 14:36:00,0 days 00:34:00
113,113,0 days 00:06:00,26510.0,40.98766195615201,1213.25,2008-01-29 14:42:00,2008-01-29 14:48:00,0 days 00:06:00
114,114,0 days 00:06:00,10620.0,11.15218213130592,64.5,2008-01-30 15:28:00,2008-01-30 15:34:00,0 days 00:06:00
115,115,0 days 00:14:00,59265.0,88.68156040042497,-1503.125,2008-02-05 14:36:00,2008-02-05 14:50:00,0 days 00:22:00
116,116,0 days 00:32:00,40111.0,60.25658359247074,-2507.764705882353,2008-02-13 13:06:00,2008-02-13 13:38:00,0 days 00:50:00
117,117,0 days 00:14:00,43050.0,76.9244514330641,1264.5,2008-02-13 13:36:00,2008-02-13 13:50:00,0 days 00:14:00
118,118,0 days 00:14:00,29585.0,51.82077735545007,-718.0,2008-02-15 11:34:00,2008-02-15 11:48:00,0 days 00:22:00
119,119,0 days 00:08:00,7193.0,5.258117808739897,-270.6,2008-02-15 17:52:00,2008-02-15 18:00:00,0 days 00:28:00
120,120,0 days 00:20:00,56320.0,79.45039287880712,-904.2727272727273,2008-02-19 14:10:00,2008-02-19 14:30:00,0 days 00:28:00
121,121,0 days 00:20:00,66681.0,94.77925917502914,-833.6363636363636,2008-02-25 15:30:00,2008-02-25 15:50:00,0 days 00:30:00
122,122,0 days 00:10:00,20745.0,24.89828250459078,-482.5,2008-02-25 16:50:00,2008-02-25 17:00:00,0 days 00:10:00
123,123,0 days 00:04:00,16783.0,20.14306460711242,6915.0,2008-02-25 16:56:00,2008-02-25 17:00:00,0 days 00:04:00
124,124,0 days 00:12:00,35735.0,35.14871936105756,-1128.857142857143,2008-02-25 17:30:00,2008-02-25 17:42:00,0 days 00:14:00
125,125,0 days 00:16:00,49118.0,72.25785571378134,-712.2222222222222,2008-03-04 15:20:00,2008-03-04 15:36:00,0 days 00:24:00
126,126,0 days 00:06:00,8761.0,6.233501960198367,-389.75,2008-03-06 00:02:00,2008-03-06 00:08:00,0 days 01:22:00
127,127,0 days 00:14:00,53216.0,84.58934049689243,-1027.25,2008-03-11 14:38:00,2008-03-11 14:52:00,0 days 00:20:00
128,128,0 days 00:06:00,27676.0,38.87297039159503,-6786.75,2008-03-18 14:16:00,2008-03-18 14:22:00,0 days 00:22:00
129,129,0 days 00:12:00,48947.0,78.37037274241067,-84.71428571428571,2008-03-18 14:20:00,2008-03-18 14:32:00,0 days 00:12:00
130,130,0 days 00:06:00,6486.0,3.3091161404869354,75.25,2008-03-22 16:40:00,2008-03-22 16:46:00,0 days 00:08:00
131,131,0 days 00:32:00,60649.0,73.12218176557113,-512.2352941176471,2008-03-31 14:30:00,2008-03-31 15:02:00,0 days 00:48:00
132,132,0 days 00:06:00,67288.0,60.264746448850914,-43.0,2008-04-03 18:14:00,2008-04-03 18:20:00,0 days 00:06:00
133,133,0 days 00:06:00,19092.0,16.22269239593159,223.25,2008-04-03 19:38:00,2008-04-03 19:44:00,0 days 00:06:00
134,134,0 days 00:48:00,52627.0,97.00829493087558,-227.88,2008-04-09 12:26:00,2008-04-09 13:14:00,0 days 00:52:00
135,135,0 days 00:24:00,60622.0,40.04148007239198,-687.0,2008-04-09 23:58:00,2008-04-10 00:22:00,0 days 00:46:00
136,136,0 days 00:12:00,58836.0,72.21888080128637,-1949.7142857142858,2008-04-10 15:24:00,2008-04-10 15:36:00,0 days 00:18:00
137,137,0 days 00:10:00,17458.0,11.465009982137232,-1253.0,2008-04-13 02:26:00,2008-04-13 02:36:00,0 days 00:14:00
138,138,0 days 00:10:00,17458.0,11.465009982137232,-1253.0,2008-04-13 02:26:00,2008-04-13 02:36:00,0 days 00:14:00
